block_id,rule_based_tag,x_position,y_position,rel_y_position,block_width,block_height,font_size,rel_font_size,is_bold,text_length,line_count,is_all_caps,ends_with_punct,text
0,heading,252.64999389648438,185.6600341796875,0.22049885294499702,113.303955078125,33.04798889160156,24.0,2.40963854498791,1,8,1,0,0,Overview
1,heading,139.3459930419922,240.884033203125,0.2860855501224763,340.01036071777344,33.048004150390625,24.0,2.40963854498791,1,27,1,0,0,Foundation Level Extensions
2,heading,275.69000244140625,380.3900146484375,0.45176961359671913,64.12799072265625,16.488006591796875,12.0,1.204819272493955,0,11,1,0,0,Version 1.0
3,heading,103.33999633789062,462.6399841308594,0.5494536628632534,410.0758972167969,24.73199462890625,18.0,1.8072289087409326,0,51,1,0,0,International Software Testing Qualifications Board
4,paragraph,70.94400024414062,650.593017578125,0.7726757928481295,414.0472106933594,25.208740234375,9.960000038146973,1.0,0,111,2,0,1,"Copyright Notice 
This document may be copied in its entirety, or extracts made, if the source is acknowledged."
5,header,74.42400360107422,36.933013916015625,0.04386343695488792,441.2638626098633,25.204998016357422,9.960000038146973,1.0,0,41,3,0,0,"International 
Overview 
Software Testing"
6,header,74.42400360107422,56.733001708984375,0.06737886188715483,418.97440338134766,16.925033569335938,9.960000038146973,1.0,0,57,2,0,0,"Foundation Level Extension – Agile Tester 
Qualifications"
7,header,493.54779052734375,59.972991943359375,0.07122683128665008,29.2923583984375,13.685043334960938,9.960000038146973,1.0,0,5,1,0,0,Board
8,paragraph,70.94400024414062,118.67300415039062,0.14094181015485824,412.3031921386719,13.685043334960938,9.960000038146973,1.0,0,92,1,0,1,Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).
9,footer,76.58135986328125,718.6836547851562,0.8535435329989979,456.55316162109375,11.56488037109375,9.960000038146973,1.0,0,40,3,0,0,"Version 2014 
Page 2 of 12 
May 31, 2014"
10,footer,76.58399963378906,735.8699951171875,0.873954863559605,142.71002197265625,8.2440185546875,6.0,0.6024096362469775,0,53,1,0,0,© International Software Testing Qualifications Board
11,header,430.75,59.972991943359375,0.07122683128665008,92.0902099609375,13.685043334960938,9.960000038146973,1.0,0,20,1,0,0,Qualifications Board
12,header,74.42400360107422,36.933013916015625,0.04386343695488792,441.2638626098633,25.204998016357422,9.960000038146973,1.0,0,41,3,0,0,"International 
Overview 
Software Testing"
13,header,74.42400360107422,56.733001708984375,0.06737886188715483,190.64118194580078,13.685043334960938,9.960000038146973,1.0,0,41,1,0,0,Foundation Level Extension – Agile Tester
14,heading,70.94400024414062,106.30280303955078,0.1262503599044546,130.584716796875,21.97692108154297,15.960000038146973,1.6024096362469775,1,16,1,0,0,Revision History
15,paragraph,74.42400360107422,137.80282592773438,0.16366131345336624,249.1756362915039,13.714920043945312,9.960000038146973,1.0,1,22,3,0,0,"Version 
Date 
Remarks"
16,paragraph,74.42400360107422,150.11300659179688,0.1782814805128229,265.34073638916016,13.685043334960938,9.960000038146973,1.0,0,34,3,0,0,"0.1 
18 JUNE 2013 
Initial version"
17,paragraph,74.42400360107422,162.35299682617188,0.1928182860168312,333.06873321533203,13.685043334960938,9.960000038146973,1.0,0,44,3,0,0,"0.2 
23 JULY 2013 
WG reviewed and confirmed"
18,paragraph,74.42400360107422,174.59298706054688,0.20735509152083953,355.84717559814453,13.685043334960938,9.960000038146973,1.0,0,47,3,0,0,"0.3 
6 NOV 2013 
amended population and diagram"
19,paragraph,74.42400360107422,186.83297729492188,0.22189189702484782,447.7500686645508,13.685043334960938,9.960000038146973,1.0,0,65,3,0,0,"0.7 
11 DEC 2013 
Amended Business Outcomes and Chapters matching"
20,paragraph,74.42400360107422,199.07302856445312,0.23642877501716522,341.0935745239258,13.685043334960938,9.960000038146973,1.0,0,46,3,0,0,"0.8 
20 DEC 2013 
Working group updates on 0.7"
21,paragraph,74.42400360107422,211.31301879882812,0.25096558052117357,343.08057403564453,13.685043334960938,9.960000038146973,1.0,0,48,3,0,0,"1.0 
31 MAY 2014 
GA release for Agile Extension"
22,footer,76.58399963378906,718.6878662109375,0.8535485346923248,456.5531463623047,11.56488037109375,9.960000038146973,1.0,0,40,3,0,0,"Version 2014 
Page 3 of 12 
May 31, 2014"
23,footer,76.58399963378906,735.8699951171875,0.873954863559605,142.71002197265625,8.2440185546875,6.0,0.6024096362469775,0,53,1,0,0,© International Software Testing Qualifications Board
24,separator,151.81919860839844,143.08279418945312,0.16993205960742652,383.7090606689453,13.714920043945312,9.960000038146973,1.0,1,138,1,0,1,..........................................................................................................................................
25,separator,157.3370361328125,160.48294067382812,0.19059731671476024,378.191162109375,13.714920043945312,9.960000038146973,1.0,1,136,1,0,1,........................................................................................................................................
26,separator,322.97186279296875,178.00259399414062,0.2114045059312834,212.5682373046875,13.714920043945312,9.960000038146973,1.0,1,76,1,0,1,............................................................................
27,separator,358.8677062988281,195.52224731445312,0.23221169514780657,176.64346313476562,13.714920043945312,9.960000038146973,1.0,1,63,1,0,1,...............................................................
28,paragraph,192.99386596679688,213.11160278320312,0.25310166601330536,342.6440734863281,71.21405029296875,9.960000038146973,1.0,0,682,6,0,1,"..................................................................................................................... 
............................................................................................................ 
................................................................................................................... 
................................................................................................................... 
................................................................................................... 
......................................................................................................................"
29,separator,414.07598876953125,288.0905456542969,0.3421502917509464,115.9532470703125,13.71490478515625,9.960000038146973,1.0,1,41,1,0,1,.........................................
30,paragraph,146.89898681640625,305.6799011230469,0.36304026261644523,382.961181640625,25.0892333984375,9.960000038146973,1.0,0,247,2,0,1,"................................................................................................................. 
...................................................................................................................................."
31,separator,146.3013916015625,334.5340270996094,0.39730882078338403,383.71112060546875,13.71490478515625,9.960000038146973,1.0,1,138,1,0,1,..........................................................................................................................................
32,paragraph,167.0679931640625,352.1233825683594,0.41819879164888285,362.81207275390625,25.208740234375,9.960000038146973,1.0,0,230,2,0,1,"............................................................................................................................. 
......................................................................................................."
33,header,74.42400360107422,36.933013916015625,0.04386343695488792,441.2638626098633,25.204998016357422,9.960000038146973,1.0,0,41,3,0,0,"International 
Overview 
Software Testing"
